instances;name;agentes;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5
93;9x21_left2_right2-28-3;28;2;29226;185945;-1;600;-1;-1;811;600;2;29226;185945;-1;600;-1;-1;811;600;2;47641;185174;-1;600;-1;-1;805;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;658.672
94;9x21_left2_right2-28-4;28;2;28712;179997;-1;600;-1;-1;805;600;2;28712;179997;-1;600;-1;-1;805;600;2;46315;179602;-1;600;-1;-1;808;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;673.164
95;9x21_left2_right2-28-5;28;2;29048;184189;-1;600;-1;-1;803;600;2;29048;184189;-1;600;-1;-1;803;600;2;47184;183375;-1;600;-1;-1;805;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;644.601
96;9x21_left2_right2-28-6;28;2;28644;179953;-1;600;-1;-1;807;600;2;28644;179953;-1;600;-1;-1;807;600;2;46342;179817;-1;600;-1;-1;809;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;687.527
97;9x21_left2_right2-28-7;28;2;28466;178254;-1;600;-1;-1;807;600;2;28466;178254;-1;600;-1;-1;807;600;2;45931;177724;-1;600;-1;-1;808;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;619.547
98;9x21_left2_right2-28-8;28;2;32259;214891;-1;600;-1;-1;835;600;2;32259;214891;-1;600;-1;-1;835;600;2;54157;212512;-1;600;-1;-1;839;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;653.284
99;9x21_left2_right2-28-9;28;2;28768;180643;-1;600;-1;-1;806;600;2;28768;180643;-1;600;-1;-1;806;600;2;46466;180324;-1;600;-1;-1;806;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;611.634
100;9x21_left2_right2-30-0;30;2;34272;236634;-1;600;-1;-1;896;600;2;34272;236634;-1;600;-1;-1;896;600;2;58917;232671;-1;600;-1;-1;892;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;1172.024
101;9x21_left2_right2-30-1;30;2;34311;238099;-1;600;-1;-1;896;600;2;34311;238099;-1;600;-1;-1;896;600;2;59262;234106;-1;600;-1;-1;892;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;608.043
102;9x21_left2_right2-30-2;30;2;34154;235541;-1;600;-1;-1;893;600;2;34154;235541;-1;600;-1;-1;893;600;2;58787;231871;-1;600;-1;-1;900;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;622.692
103;9x21_left2_right2-30-3;30;2;33872;232447;-1;600;-1;-1;895;600;2;33872;232447;-1;600;-1;-1;895;600;2;58023;228822;-1;600;-1;-1;897;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;729.716
104;9x21_left2_right2-30-4;30;2;34207;235664;-1;600;-1;-1;900;600;2;34207;235664;-1;600;-1;-1;900;600;2;58724;231898;-1;600;-1;-1;890;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;604.592
105;9x21_left2_right2-30-5;30;2;34022;233676;-1;600;-1;-1;895;600;2;34022;233676;-1;600;-1;-1;895;600;2;58227;229905;-1;600;-1;-1;898;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;710.827
106;9x21_left2_right2-30-6;30;2;34497;240093;-1;600;-1;-1;892;600;2;34497;240093;-1;600;-1;-1;892;600;2;59714;236017;-1;600;-1;-1;895;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;620.158
107;9x21_left2_right2-30-7;30;2;33911;232542;-1;600;-1;-1;895;600;2;33911;232542;-1;600;-1;-1;895;600;2;58088;228921;-1;600;-1;-1;897;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;705.686
108;9x21_left2_right2-30-8;30;2;34077;234232;-1;600;-1;-1;888;600;2;34077;234232;-1;600;-1;-1;888;600;2;58425;230709;-1;600;-1;-1;892;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;622.174
109;9x21_left2_right2-30-9;30;2;33780;230820;-1;600;-1;-1;900;600;2;33780;230820;-1;600;-1;-1;900;600;2;57661;227377;-1;600;-1;-1;895;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;640.202
110;9x21_left2_right2-4-0;4;0;10465;29735;92;0.02;10465;29735;92;0.02;0;10465;29735;92;0.02;10465;29735;92;0.02;0;10743;30273;92;0.01;10743;30273;92;0.01;1;7894;690;92;0.032777309;-1;-1;92;600;0;;;;;;;92;0.002
111;9x21_left2_right2-4-1;4;0;10585;31218;92;0.02;13181;43894;92;0.03;0;10585;31218;92;0.04;13181;43894;92;0.05;0;10798;31608;92;0.03;13938;45188;92;0.04;0;8619;896;92;0.044167995;17173;2152;92;0.107193708;0;;;;;;;93;0.04
112;9x21_left2_right2-4-2;4;0;8627;21966;90;0.01;8627;21966;90;0.01;0;8627;21966;90;0.01;8627;21966;90;0.01;0;8686;22080;90;0.01;8686;22080;90;0.01;1;3264;246;90;0.01701808;-1;-1;90;600;0;;;;;;;92;0.006
113;9x21_left2_right2-4-3;4;0;8774;23143;87;0.03;9457;26179;87;0.04;0;8774;23143;87;0.03;9457;26179;87;0.04;0;8839;23267;87;0.03;9615;26477;87;0.04;0;4107;341;87;0.038497925;6015;527;87;0.060851812;0;;;;;;;87;0.013
