instances;name;agentes;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5
51;Instance-20-10-30-1_enc1;30;0;78343;487395;389;0.41;95408;647140;389;0.55;0;78343;487395;389;0.47;95408;647140;389;0.63;0;110742;493806;389;0.25;143109;650337;389;0.62;0;202397;44077;389;1.08703208;268993;58024;389;2.10778904;0;;;;;;;397;31.244
52;Instance-20-10-30-2_enc1;30;0;104562;728870;414;0.36;104562;728870;414;0.36;0;104562;728870;414;0.42;104562;728870;414;0.42;0;159809;730666;414;0.35;159809;730666;414;0.35;0;304608;65983;414;1.390384674;304608;65983;414;1.390384674;0;;;;;;;417;0.273
53;Instance-20-10-30-3_enc1;30;0;153528;1237917;429;1.15;189558;1645030;429;1.45;0;153528;1237917;429;1.25;189558;1645030;429;1.58;0;259283;1216712;429;0.79;337301;1598502;429;1.61;0;504072;106101;429;3.103787422;661263;135670;429;5.264167309;0;;;;;;;436;34.773
54;Instance-20-10-30-4_enc1;30;0;92202;598656;422;0.52;132026;1002083;422;0.69;0;92202;598656;422;0.63;132026;1002083;422;0.84;0;134249;604017;422;0.31;214327;991811;422;0.8;0;252230;55640;422;1.540529251;414607;88510;422;3.114693642;0;;;;;;;429;36.221
55;Instance-20-10-30-5_enc1;30;0;85748;539599;367;0.39;94186;618427;367;0.5;0;85748;539599;367;0.44;94186;618427;367;0.58;0;121553;548190;367;0.27;137586;625411;367;0.58;0;227538;51126;367;1.210305929;260174;57828;367;2.105088234;0;;;;;;;373;2.485
56;Instance-20-10-30-6_enc1;30;0;136851;1068280;369;0.99;192990;1691267;369;1.28;0;136851;1068280;369;1.04;192990;1691267;369;1.4;0;226720;1054669;369;0.56;347145;1639806;369;1.34;0;439142;93099;369;2.49893713;681003;139346;369;5.15793395;0;;;;;;;377;17.512
57;Instance-20-10-30-7_enc1;30;0;145883;1127967;456;1.01;192267;1642936;456;1.67;0;145883;1127967;456;1.08;192267;1642936;456;1.47;0;239271;1117110;456;0.67;338434;1601071;456;1.81;0;464956;99281;456;3.172535896;664412;137625;456;7.135865688;0;;;;;;;461;11.844
58;Instance-20-10-30-8_enc1;30;0;106273;747338;377;0.77;181905;1562103;377;1.26;0;106273;747338;377;0.81;181905;1562103;377;1.16;0;163390;747687;377;0.44;322033;1519062;377;1.3;0;312520;67018;377;1.97172451;631805;129609;377;5.606504202;0;;;;;;;382;27.247
59;Instance-20-10-30-9_enc1;30;0;117375;860412;375;0.81;172179;1451257;375;1.04;0;117375;860412;375;0.83;172179;1451257;375;1.1;0;186347;856207;375;0.43;301790;1415562;375;1.11;0;358862;77349;375;1.833748579;591647;122542;375;4.254739046;0;;;;;;;385;32.761
60;Instance-20-10-32-0_enc1;32;0;80789;504452;417;0.57;108895;776894;417;0.73;0;80789;504452;417;0.63;108895;776894;417;0.78;0;114376;511479;417;0.32;169110;775232;417;0.74;0;213190;46619;417;1.187577486;324841;70116;417;2.579449415;0;;;;;;;427;32.309
61;Instance-20-10-32-1_enc1;32;0;148242;1179595;453;1.09;197747;1742747;453;1.47;0;148242;1179595;453;1.18;197747;1742747;453;1.59;0;248863;1159575;453;0.7;357194;1687373;453;1.63;0;485848;102529;453;3.374702215;703587;143628;453;5.77585721;0;;;;;;;459;17.668
62;Instance-20-10-32-2_enc1;32;0;155226;1246319;487;1.57;260163;2475804;487;4.01;0;155226;1246319;487;1.68;260163;2475804;487;2.62;0;262504;1224601;487;1.17;497048;2368738;487;6.03;0;513476;108000;487;4.395269632;984470;196445;487;11.33449912;0;;;;;;;494;115.074
63;Instance-20-10-32-3_enc1;32;0;149701;1205415;438;0.91;161259;1333253;438;1.17;0;149701;1205415;438;0.9;161259;1333253;438;1.12;0;252776;1183672;438;0.63;277559;1304197;438;1.3;0;493388;103735;438;2.987954378;543247;113352;438;4.646760702;0;;;;;;;447;22.006
64;Instance-20-10-32-4_enc1;32;0;108761;783834;422;0.7;140659;1120066;422;0.94;0;108761;783834;422;0.73;140659;1120066;422;0.98;0;169560;781959;422;0.42;235438;1102166;422;1;0;325396;69537;422;1.806698322;458742;95697;422;3.729629278;0;;;;;;;430;15.118
65;Instance-20-10-32-5_enc1;32;0;126466;980874;357;0.9;171069;1474215;357;1.15;0;126466;980874;357;0.88;171069;1474215;357;1.2;0;208193;967963;357;0.49;303580;1432012;357;1.22;0;402950;85133;357;2.210011244;594529;121525;357;4.494198084;0;;;;;;;363;7.226
66;Instance-20-10-32-6_enc1;32;0;131574;1029470;427;0.95;177717;1543318;427;1.52;0;131574;1029470;427;1.01;177717;1543318;427;1.37;0;216948;1015375;427;0.58;315796;1498556;427;2;0;421226;88756;427;2.985692978;620136;126914;427;5.506976128;0;;;;;;;436;43.288
67;Instance-20-10-32-7_enc1;32;0;143199;1106898;442;1.86;481847;5189661;421;3.57;0;143199;1106898;442;1.88;481847;5189661;421;3.08;0;236241;1095263;442;0.68;1013023;4890962;421;3.61;0;459902;98089;442;3.022192717;2018250;390045;421;13.73677301;0;;;;;;;429;18.571
68;Instance-20-10-32-8_enc1;32;0;149543;1217732;436;0.98;186112;1632679;436;1.26;0;149543;1217732;436;1.06;186112;1632679;436;1.4;0;254543;1192669;436;0.62;334332;1582548;436;1.44;0;494186;102955;436;3.115533352;654991;133348;436;5.827797651;0;;;;;;;454;516.262
69;Instance-20-10-32-9_enc1;32;0;127341;973864;470;1.02;201586;1809098;470;1.6;0;127341;973864;470;1.01;201586;1809098;470;1.43;0;207625;961211;470;0.62;368567;1746117;470;1.94;0;401253;83711;470;4.104450703;726106;146504;470;8.892407894;3;;;;;;;-1;600
70;Instance-20-10-34-0_enc1;34;0;114324;841745;428;1.15;278131;2752837;428;1.92;0;114324;841745;428;1.2;278131;2752837;428;2.01;0;181552;838109;428;0.58;545302;2615525;428;2.02;0;350951;75244;428;2.34685874;1081448;211504;428;9.420090199;0;;;;;;;435;176.581
71;Instance-20-10-34-1_enc1;34;0;151743;1193346;543;1.17;230450;2107975;543;1.56;0;151743;1193346;543;1.24;230450;2107975;543;1.72;0;253270;1177357;543;0.71;428099;2029896;543;1.77;0;494222;104331;543;4.0023911;845350;169799;543;7.55557394;0;;;;;;;550;56.924
72;Instance-20-10-34-2_enc1;34;0;197851;1733537;482;1.58;266917;2564322;482;2.25;0;197851;1733537;482;1.63;266917;2564322;482;2.23;0;356484;1683198;482;1.01;513638;2451299;482;2.55;0;702691;143634;482;6.509860992;1018170;201888;482;9.440320015;0;;;;;;;492;170.159
